Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3)
1681947021.9407694,37.875444,-122.258833,2.0
1681947027.3955762,37.875451,-122.258848,2.5
1681947032.8051693,37.875446,-122.258825,3.0
1681947038.1136184,37.875438,-122.258806,3.0
1681947043.428576,37.875441,-122.258815,3.0
1681947048.7373757,37.875443,-122.25882,3.0
1681947054.0573535,37.875478,-122.258921,3.0
1681947059.387458,37.875429,-122.258878,3.0
1681947064.7385812,37.87539,-122.258845,3.0
1681947070.103596,37.875368,-122.258811,3.0
1681947075.4531012,37.875365,-122.258776,3.0
1681947080.8578186,37.875373,-122.258728,3.0
1681947086.254419,37.875381,-122.258714,3.0
1681947091.6448004,37.875405,-122.258775,2.5
1681947097.077496,37.875425,-122.258908,2.0
1681947102.428251,37.875446,-122.258918,2.0
1681947107.7986636,37.875468,-122.258906,2.0
1681947113.184644,37.875476,-122.258896,2.0
1681947118.5368383,37.875496,-122.258943,2.0
1681947124.1399837,37.875491,-122.258953,2.0
1681947129.5132625,37.875493,-122.258958,2.0
1681947134.9106767,37.875495,-122.258946,2.0
1681947140.3366468,37.875479,-122.258931,2.5
1681947145.7442281,37.87545,-122.258913,3.0
1681947151.1540287,37.875441,-122.258909,3.0
1681947156.5394342,37.875438,-122.258905,3.0
1681947162.045065,37.875444,-122.25889,1.5
1681947167.4398167,37.875448,-122.25887,2.0
1681947172.828548,37.875435,-122.258863,2.0
1681947178.2915952,37.875433,-122.25885,2.0
1681947183.6706734,37.875433,-122.258838,2.0
1681947189.1105785,37.875431,-122.258825,2.0
1681947194.5623424,37.875429,-122.25881,3.0
1681947200.0422754,37.875428,-122.258775,3.0
1681947205.468273,37.875426,-122.258748,3.0
1681947210.9811535,37.875421,-122.25874,2.0
1681947216.4010558,37.87542,-122.25873,2.0
1681947221.793431,37.87542,-122.258723,2.0
1681947227.2715316,37.875375,-122.258778,2.0
1681947232.6706166,37.87537,-122.258786,2.0
1681947238.1096368,37.875368,-122.258808,2.0
1681947243.5684214,37.875363,-122.25884,2.0
1681947249.0091019,37.875363,-122.258853,2.0
1681947254.4167418,37.875366,-122.258858,2.0
1681947259.860504,37.875373,-122.258865,2.0
1681947265.2874773,37.875373,-122.258881,2.0
1681947270.7157712,37.875368,-122.258919,2.0
1681947276.1924024,37.875368,-122.258934,2.0
1681947281.6187904,37.875368,-122.258938,2.0
1681947287.1257546,37.87537,-122.258943,2.0
1681947292.6767547,37.87537,-122.258948,2.0
1681947298.156019,37.875373,-122.258953,2.0
1681947303.59374,37.875373,-122.258953,2.0
1681947309.085367,37.875373,-122.258951,2.0
1681947314.585747,37.875373,-122.258951,2.0
1681947320.1229386,37.875378,-122.25895,2.0
1681947325.5652478,37.875385,-122.258948,2.0
1681947331.0849276,37.875386,-122.258975,2.0
1681947336.5729346,37.87539,-122.259003,2.0
1681947342.0907986,37.875394,-122.259018,2.0
1681947347.6491377,37.8754,-122.25905,2.0
1681947353.1774585,37.875405,-122.25909,2.0
1681947358.659818,37.875383,-122.259035,2.0
1681947364.1863997,37.875376,-122.259045,2.0
1681947369.6809957,37.875373,-122.25905,2.0
1681947375.280231,37.875378,-122.259056,2.0
1681947380.7595832,37.875381,-122.259048,2.0
1681947386.3057694,37.875366,-122.258973,2.0
1681947391.8001401,37.875358,-122.258925,2.0
1681947397.337379,37.875363,-122.25893,2.0
1681947402.9209516,37.875366,-122.258908,2.0
1681947408.507838,37.875366,-122.258903,2.0
1681947414.0712104,37.875375,-122.258896,2.0
1681947419.577639,37.875381,-122.258891,2.0
1681947425.181741,37.875386,-122.258898,2.0
1681947430.6880648,37.875391,-122.258905,2.0
1681947436.2715976,37.875403,-122.258938,2.0
1681947441.9330678,37.875413,-122.258968,2.0
1681947447.8216805,37.875415,-122.259004,2.0
1681947453.4152198,37.875408,-122.258993,2.0
1681947458.9990005,37.87541,-122.25899,2.0
1681947464.5427182,37.875408,-122.258978,2.0
1681947470.1485925,37.875403,-122.258963,2.0
1681947475.699353,37.875398,-122.258958,2.0
1681947481.3101807,37.875394,-122.258961,2.0
1681947486.8627794,37.875394,-122.258965,2.0
1681947492.453371,37.875394,-122.258959,2.0
1681947498.148632,37.875391,-122.258936,2.0
1681947503.7335405,37.875388,-122.258928,2.0
1681947509.3272622,37.875388,-122.258923,2.0
1681947514.9152825,37.875386,-122.258923,2.0
1681947520.521487,37.875385,-122.258925,2.0
1681947526.138086,37.875378,-122.258925,2.0
1681947531.7308447,37.875375,-122.258931,2.0
1681947537.4418027,37.875373,-122.258941,2.0
1681947543.097306,37.875373,-122.258948,2.0
1681947548.709862,37.875378,-122.258968,2.0
1681947554.3312187,37.875378,-122.258976,2.0
1681947559.9627225,37.875379,-122.258986,2.0
1681947565.6312702,37.875385,-122.258993,2.0
1681947571.3180785,37.875388,-122.25899,2.0
1681947576.931248,37.875388,-122.258988,2.0
1681947582.6093173,37.875388,-122.258988,2.0
1681947588.3634388,37.875386,-122.258973,2.0
1681947594.037194,37.875388,-122.258963,2.0
1681947599.6529467,37.875388,-122.258956,2.0
1681947605.334969,37.875386,-122.258944,2.0
1681947611.0044727,37.875385,-122.258938,2.0
1681947616.6786644,37.875381,-122.258936,2.0
1681947622.36888,37.875379,-122.258933,2.0
1681947628.0394952,37.875379,-122.258923,2.0
1681947633.7253594,37.875378,-122.258905,2.0
1681947639.401236,37.875378,-122.258898,2.0
1681947645.112766,37.875376,-122.258893,2.0
1681947650.8282626,37.875375,-122.258891,2.0
1681947656.5320122,37.875373,-122.25889,2.0
1681947662.2406197,37.87537,-122.258886,2.0
1681947667.95421,37.875368,-122.258884,2.0
1681947673.6225736,37.875368,-122.258883,2.0
1681947679.427496,37.875365,-122.258868,2.0
1681947685.2929265,37.87536,-122.258858,2.0
1681947691.1511672,37.875358,-122.258855,2.0
1681947696.8639882,37.875358,-122.258856,2.0
1681947702.5823097,37.875355,-122.258858,2.0
1681947708.363464,37.875355,-122.258863,2.0
1681947714.2475278,37.875358,-122.25887,2.0
1681947719.949725,37.875355,-122.258873,2.0
1681947725.671793,37.875356,-122.25888,2.0
1681947731.414048,37.875355,-122.258878,2.0
1681947737.1520467,37.875343,-122.258855,2.0
1681947742.8671849,37.875346,-122.258845,2.0
1681947748.5846028,37.87536,-122.258878,2.0
1681947754.4588246,37.875361,-122.258851,2.0
1681947760.2255492,37.875365,-122.258821,2.0
1681947765.933876,37.875386,-122.258786,2.0
1681947771.6477728,37.875391,-122.25876,2.0
1681947777.4550014,37.875378,-122.258743,2.0
1681947783.2471077,37.87537,-122.258731,2.0
1681947789.0524666,37.87537,-122.258728,2.0
1681947794.7825856,37.875375,-122.258738,2.0
1681947800.582715,37.875379,-122.258781,2.0
1681947806.4158816,37.87539,-122.258813,2.0
1681947812.48739,37.875394,-122.25882,2.0
1681947818.2906837,37.875388,-122.258815,2.0
1681947824.1245625,37.875393,-122.258811,2.0
1681947829.8939621,37.875393,-122.258806,2.0
1681947835.666579,37.875388,-122.258798,2.0
1681947841.5374002,37.875381,-122.258783,2.0
1681947847.3459928,37.875371,-122.258768,2.0
1681947853.2833369,37.875365,-122.258738,2.0
1681947859.077292,37.875355,-122.258726,2.0
1681947864.8871555,37.87535,-122.25873,2.0
1681947870.664878,37.875348,-122.258735,2.0
1681947876.5104535,37.875346,-122.258743,2.0
1681947882.3637474,37.87535,-122.258746,2.0
1681947888.2296247,37.875356,-122.258751,2.0
1681947894.1703215,37.875363,-122.258751,2.0
1681947900.0451908,37.87536,-122.258748,2.0
1681947905.862537,37.875355,-122.258749,2.0
1681947911.7337165,37.87535,-122.258749,2.0
1681947917.590846,37.875346,-122.258749,2.0
1681947923.4964647,37.875341,-122.258756,2.0
1681947929.4002366,37.87534,-122.258765,2.0
1681947935.3174186,37.875348,-122.25877,2.0
1681947941.2099993,37.875355,-122.258768,2.0
1681947947.0623653,37.875358,-122.258765,2.0
1681947952.8949862,37.875356,-122.258756,2.0
1681947958.7376194,37.875355,-122.258753,2.0
1681947964.6513813,37.875355,-122.258755,2.0
1681947970.571482,37.87535,-122.258781,2.0
1681947976.454413,37.875351,-122.258793,2.0
1681947982.4679315,37.875355,-122.258801,2.0
1681947988.3809426,37.875356,-122.258806,2.0
1681947994.2427804,37.875358,-122.258813,2.0
1681948000.2454548,37.875363,-122.258823,2.0
1681948006.157195,37.87537,-122.258835,2.0
1681948012.0747225,37.875371,-122.258846,2.0
1681948017.9676282,37.875368,-122.258876,2.0
1681948023.8538835,37.875386,-122.258919,2.0
1681948029.7308939,37.87539,-122.258936,2.0
1681948035.6660316,37.8754,-122.25898,2.0
1681948041.6102078,37.875403,-122.258968,2.0
1681948047.5630205,37.875408,-122.258966,2.0
1681948053.5370698,37.875408,-122.258966,2.0
1681948059.471012,37.875408,-122.258968,2.0
1681948065.4589486,37.87542,-122.258978,2.0
1681948071.4627817,37.875418,-122.258951,2.0
1681948077.5134706,37.875418,-122.258953,2.0
1681948083.636478,37.875416,-122.25895,2.0
1681948089.5896611,37.875413,-122.258944,2.0
1681948095.6887512,37.875405,-122.258946,2.0
